Dimension, epsilon, agg_thr, box_thr, fpr, falsepositive_c, falsepositive_bf, falsenegative_c, bfsize
50,0.00021544346900318845,0.9,0.0,0.925688670816,61022,104,15652,18758
17,0.046415888336127774,0.8,0.1,0.984840912877,65002,30,1962,2356
17,0.1,1.0,0.0,0.0595308406403,0,3931,839364,1005675
17,0.00021544346900318845,0.8,0.01778279410038923,0.915572516772,60239,219,52135,62469
149,0.0001,0.9,0.0005623413251903491,0.787439613527,51499,498,122813,147151
29,0.021544346900318822,0.8,0.1,0.984265443036,64964,30,2030,2438
10,0.002154434690031882,0.9,0.0001,0.952069419836,62819,49,4689,5623
3,0.046415888336127774,0.8,0.0001,0.983705117138,64945,12,34,47
17,0.00021544346900318845,0.9,0.0001,0.908606302909,59866,132,31216,37408
17,0.001,0.9,0.0001,0.961458664607,63426,62,5600,6715
87,0.1,0.9,0.01778279410038923,0.984765193161,64996,31,1866,2241
149,0.1,0.8,0.0001,0.987930277286,65228,8,24,36
3,0.0001,0.9,0.0001,0.871155331425,57257,268,58858,70524
17,0.0001,0.8,0.001333521432163324,0.87365408205,57368,322,75112,89999
17,0.0001,0.9,0.0031622776601683794,0.658367785804,42447,1027,295389,353921
256,0.01,1.0,0.0031622776601683794,0.0595308406403,0,3931,839364,1005675
149,0.004641588833612777,0.9,0.0,0.975966562173,64430,16,267,326
5,0.004641588833612777,0.8,0.1,0.965441521663,63696,55,6508,7802
50,0.0001,0.9,0.0005623413251903491,0.775445610528,50645,560,147619,176872
50,0.021544346900318822,0.8,0.0001,0.985779837354,65082,12,34,47
5,0.0001,0.9,0.007498942093324558,0.660911968258,42549,1093,310647,372201
2,0.00046415888336127773,0.9,0.0001,0.950888192268,62720,70,9521,11413
3,0.00046415888336127773,0.9,0.001333521432163324,0.933260642406,61498,128,30375,36399
50,0.00046415888336127773,1.0,0.0031622776601683794,0.0595308406403,0,3931,839364,1005675
5,0.046415888336127774,0.8,0.0005623413251903491,0.978692471946,64612,14,51,67
29,0.002154434690031882,1.0,0.1,0.0595308406403,0,3931,839364,1005675
50,0.00021544346900318845,0.9,0.0001,0.920418578589,60665,113,24618,29500
17,0.00046415888336127773,0.8,0.1,0.943104205473,62145,131,32272,38672
29,0.004641588833612777,0.8,0.001333521432163324,0.981070071025,64768,15,429,520
50,0.1,0.9,0.0001,0.985052928081,65037,9,24,36
3,0.00046415888336127773,0.8,0.007498942093324558,0.925067769146,60920,165,43028,51558
5,0.021544346900318822,0.9,0.00023713737056616554,0.977132645798,64509,14,97,122
256,0.01,0.8,0.00023713737056616554,0.98485605682,65022,11,68,87
29,0.01,1.0,0.0001,0.0595308406403,0,3931,839364,1005675
2,0.004641588833612777,0.8,0.042169650342858224,0.977117501855,64478,44,4127,4950
17,0.004641588833612777,0.8,0.0,0.98090348765,64754,18,134,167
2,0.046415888336127774,0.8,0.007498942093324558,0.986537034513,65128,16,810,977
5,0.00046415888336127773,0.8,0.0031622776601683794,0.908984901489,59835,188,50850,60930
87,0.046415888336127774,0.8,0.01778279410038923,0.985840413127,65073,25,1680,2018
5,0.00021544346900318845,1.0,0.0001,0.0595308406403,0,3931,839364,1005675
17,0.00021544346900318845,0.9,0.1,0.782442112277,51045,622,167866,201131
256,0.002154434690031882,0.9,0.00023713737056616554,0.971453667106,64112,36,2214,2659
17,0.002154434690031882,0.8,0.042169650342858224,0.972589462844,64172,51,6368,7636
5,0.00046415888336127773,0.8,0.0,0.934411582088,61621,81,9289,11135
256,0.002154434690031882,0.9,0.042169650342858224,0.966516741629,63763,59,10113,12123
149,0.01,0.9,0.0031622776601683794,0.979631396423,64675,13,562,680
149,0.004641588833612777,1.0,0.007498942093324558,0.0595308406403,0,3931,839364,1005675
50,0.002154434690031882,1.0,0.1,0.0595308406403,0,3931,839364,1005675
17,0.0001,0.9,0.042169650342858224,0.553450547454,35005,1541,421955,505563
149,0.046415888336127774,0.8,0.0,0.987021640695,65166,10,25,37
5,0.046415888336127774,1.0,0.0,0.0595308406403,0,3931,839364,1005675
2,0.00021544346900318845,0.8,0.0001,0.927627095543,61145,109,21771,26091
3,0.0001,0.9,0.1,0.684324504414,44082,1106,285008,341483
50,0.0001,1.0,0.001333521432163324,0.0595308406403,0,3931,839364,1005675
5,0.00021544346900318845,1.0,0.00023713737056616554,0.0595308406403,0,3931,839364,1005675
2,0.002154434690031882,0.8,0.0031622776601683794,0.97037844714,64041,36,6139,7361
10,0.021544346900318822,1.0,0.0,0.0595308406403,0,3931,839364,1005675
2,0.002154434690031882,0.9,0.01778279410038923,0.967228506959,63819,50,8698,10427
17,0.0001,0.8,0.1,0.714082352763,46093,1060,228690,274007
29,0.01,1.0,0.00023713737056616554,0.0595308406403,0,3931,839364,1005675
17,0.001,0.9,0.001333521432163324,0.956203716324,63067,74,12694,15216
5,0.01,1.0,0.01778279410038923,0.0595308406403,0,3931,839364,1005675
256,0.00046415888336127773,0.8,0.1,0.944558024018,62233,139,30742,36839
3,0.00021544346900318845,0.8,0.1,0.848575712144,55547,487,113307,135762
50,0.0001,0.9,0.001333521432163324,0.725561461693,47136,775,211585,253512
2,0.00046415888336127773,1.0,0.0,0.0595308406403,0,3931,839364,1005675
10,0.0001,1.0,0.1,0.0595308406403,0,3931,839364,1005675
2,0.046415888336127774,0.9,0.1,0.985991852559,65087,21,1097,1320
87,0.046415888336127774,0.9,0.001333521432163324,0.984674329502,65009,12,48,63
256,0.004641588833612777,1.0,0.1,0.0595308406403,0,3931,839364,1005675
2,0.00046415888336127773,0.9,0.00023713737056616554,0.949131494859,62599,75,12813,15358
149,0.001,0.9,0.0001,0.965002347311,63676,46,4689,5623
2,0.00046415888336127773,1.0,0.001333521432163324,0.0595308406403,0,3931,839364,1005675
256,0.021544346900318822,1.0,0.001333521432163324,0.0595308406403,0,3931,839364,1005675
29,0.002154434690031882,1.0,0.0001,0.0595308406403,0,3931,839364,1005675
29,0.01,0.8,0.01778279410038923,0.982917632093,64873,32,2193,2632
256,0.021544346900318822,0.8,0.0031622776601683794,0.985825269184,65088,9,191,234
149,0.021544346900318822,0.9,0.0,0.98356882165,64930,18,56,73
149,0.046415888336127774,1.0,0.0001,0.0595308406403,0,3931,839364,1005675
3,0.0001,0.9,0.00023713737056616554,0.858601002529,56343,353,81949,98192
50,0.00021544346900318845,0.8,0.1,0.908939469659,59779,241,54427,65217
3,0.046415888336127774,0.8,0.00023713737056616554,0.983659685309,64943,11,42,57
149,0.00046415888336127773,0.9,0.0031622776601683794,0.936334862872,61708,121,30952,37091
5,0.046415888336127774,0.8,0.042169650342858224,0.97732951706,64501,35,2022,2428
50,0.1,1.0,0.0001,0.0595308406403,0,3931,839364,1005675
87,0.0001,1.0,0.0001,0.0595308406403,0,3931,839364,1005675
87,0.004641588833612777,0.8,0.0005623413251903491,0.981887843957,64815,22,222,271
3,0.021544346900318822,1.0,0.00023713737056616554,0.0595308406403,0,3931,839364,1005675
10,0.0001,1.0,0.00023713737056616554,0.0595308406403,0,3931,839364,1005675
2,0.00046415888336127773,0.8,0.007498942093324558,0.933351506065,61506,126,35215,42198
29,0.00021544346900318845,0.8,0.0,0.948571168961,62561,76,9037,10834
149,0.004641588833612777,1.0,0.01778279410038923,0.0595308406403,0,3931,839364,1005675
5,0.004641588833612777,0.9,0.0005623413251903491,0.969409234777,63976,37,2118,2543
87,0.00046415888336127773,0.8,0.0001,0.964290581982,63632,43,5300,6355
29,0.01,1.0,0.01778279410038923,0.0595308406403,0,3931,839364,1005675
256,0.1,0.8,0.0001,0.987945421229,65229,8,24,36
87,0.004641588833612777,0.9,0.007498942093324558,0.973906985901,64262,48,3775,4529
5,0.1,1.0,0.001333521432163324,0.0595308406403,0,3931,839364,1005675
256,0.002154434690031882,0.8,0.0001,0.97699635031,64496,18,297,362
2,0.0001,1.0,0.1,0.0595308406403,0,3931,839364,1005675
3,0.004641588833612777,1.0,0.0005623413251903491,0.0595308406403,0,3931,839364,1005675
10,0.00021544346900318845,1.0,0.001333521432163324,0.0595308406403,0,3931,839364,1005675
17,0.01,0.8,0.0005623413251903491,0.98418972332,64972,17,109,136
2,0.002154434690031882,1.0,0.001333521432163324,0.0595308406403,0,3931,839364,1005675
50,0.021544346900318822,0.8,0.01778279410038923,0.984886344706,65004,31,1911,2295
5,0.004641588833612777,1.0,0.0,0.0595308406403,0,3931,839364,1005675
3,0.001,0.8,0.01778279410038923,0.949494949495,62604,94,20890,25033
10,0.021544346900318822,1.0,0.01778279410038923,0.0595308406403,0,3931,839364,1005675
29,0.002154434690031882,1.0,0.007498942093324558,0.0595308406403,0,3931,839364,1005675
10,0.046415888336127774,0.9,0.0031622776601683794,0.973785834356,64278,24,243,296
256,0.021544346900318822,0.8,0.0005623413251903491,0.986006996502,65098,11,40,54
5,0.002154434690031882,0.8,0.007498942093324558,0.956733754335,63107,69,10861,13020
29,0.002154434690031882,0.8,0.0005623413251903491,0.976526888071,64446,37,1756,2109
3,0.00021544346900318845,0.8,0.042169650342858224,0.852725152575,55841,467,110899,132877
87,0.01,0.9,0.0,0.980661184559,64733,23,116,145
256,0.001,1.0,0.0001,0.0595308406403,0,3931,839364,1005675
87,0.1,0.9,0.0001,0.985325519059,65055,9,24,36
3,0.004641588833612777,0.8,0.042169650342858224,0.972316871867,64151,54,5188,6222
10,0.00046415888336127773,0.9,0.0005623413251903491,0.892205412445,58739,176,53152,63689
2,0.01,1.0,0.00023713737056616554,0.0595308406403,0,3931,839364,1005675
87,0.00046415888336127773,0.8,0.0,0.964563172959,63660,33,3553,4262
29,0.046415888336127774,1.0,0.007498942093324558,0.0595308406403,0,3931,839364,1005675
10,0.046415888336127774,1.0,0.0005623413251903491,0.0595308406403,0,3931,839364,1005675
149,0.0001,1.0,0.0001,0.0595308406403,0,3931,839364,1005675
256,0.001,1.0,0.1,0.0595308406403,0,3931,839364,1005675
3,0.00021544346900318845,0.8,0.0005623413251903491,0.904532582194,59539,190,51954,62254
5,0.001,0.9,0.007498942093324558,0.941241500462,62054,99,24335,29162
17,0.00021544346900318845,1.0,0.007498942093324558,0.0595308406403,0,3931,839364,1005675
29,0.002154434690031882,0.9,0.1,0.964638892675,63638,60,11877,14235
3,0.002154434690031882,0.9,0.00023713737056616554,0.968031135947,63895,27,2817,3380
256,0.1,1.0,0.0,0.0595308406403,0,3931,839364,1005675
10,0.046415888336127774,0.9,0.0001,0.973770690412,64283,18,47,63
2,0.046415888336127774,1.0,0.00023713737056616554,0.0595308406403,0,3931,839364,1005675
5,0.021544346900318822,1.0,0.007498942093324558,0.0595308406403,0,3931,839364,1005675
10,0.046415888336127774,0.9,0.00023713737056616554,0.973755546469,64283,17,55,72
256,0.004641588833612777,0.8,0.0001,0.982084715218,64833,17,118,149
5,0.1,1.0,0.042169650342858224,0.0595308406403,0,3931,839364,1005675
10,0.004641588833612777,1.0,0.01778279410038923,0.0595308406403,0,3931,839364,1005675
87,0.021544346900318822,0.8,0.01778279410038923,0.985052928081,65016,30,1900,2281
149,0.00021544346900318845,1.0,0.0,0.0595308406403,0,3931,839364,1005675
5,0.0001,1.0,0.0005623413251903491,0.0595308406403,0,3931,839364,1005675
5,0.00046415888336127773,0.8,0.0001,0.931609952599,61419,98,17361,20805
2,0.001,1.0,0.0031622776601683794,0.0595308406403,0,3931,839364,1005675
10,0.1,1.0,0.1,0.0595308406403,0,3931,839364,1005675
17,0.0001,1.0,0.0001,0.0595308406403,0,3931,839364,1005675
256,0.01,0.9,0.042169650342858224,0.977359804946,64501,37,2921,3506
50,0.004641588833612777,1.0,0.001333521432163324,0.0595308406403,0,3931,839364,1005675
3,0.046415888336127774,1.0,0.001333521432163324,0.0595308406403,0,3931,839364,1005675
29,0.1,0.8,0.1,0.986279587479,65103,24,1752,2105
50,0.01,1.0,0.0001,0.0595308406403,0,3931,839364,1005675
10,0.0001,0.8,0.0005623413251903491,0.838641285418,55024,354,99766,119539
29,0.00021544346900318845,0.8,0.1,0.901352354126,59250,269,62462,74843
10,0.00046415888336127773,1.0,0.042169650342858224,0.0595308406403,0,3931,839364,1005675
5,0.002154434690031882,0.8,0.0031622776601683794,0.958248148653,63220,56,9558,11458
87,0.1,0.9,0.1,0.984734905275,64994,31,1945,2335
3,0.021544346900318822,1.0,0.0031622776601683794,0.0595308406403,0,3931,839364,1005675
29,0.01,0.9,0.0001,0.979828267684,64677,24,161,198
256,0.001,1.0,0.001333521432163324,0.0595308406403,0,3931,839364,1005675
29,0.01,0.9,0.0005623413251903491,0.979797979798,64675,24,278,338
10,0.046415888336127774,0.8,0.0,0.984886344706,65021,14,28,40
149,0.00046415888336127773,0.8,0.01778279410038923,0.949192070631,62553,125,27482,32933
29,0.1,0.9,0.0005623413251903491,0.984992352309,65034,8,35,48
17,0.01,1.0,0.0031622776601683794,0.0595308406403,0,3931,839364,1005675
17,0.00046415888336127773,1.0,0.042169650342858224,0.0595308406403,0,3931,839364,1005675
50,0.1,0.8,0.1,0.986385595081,65109,25,1742,2093
2,0.001,0.8,0.001333521432163324,0.961170929687,63416,53,10008,11996
87,0.002154434690031882,0.8,0.007498942093324558,0.974527887571,64309,42,4423,5306
87,0.00046415888336127773,0.8,0.007498942093324558,0.952750897279,62815,98,25052,30022
5,0.046415888336127774,0.9,0.0,0.978662184059,64612,12,36,49
87,0.001,0.8,0.00023713737056616554,0.971605106538,64108,50,3585,4302
87,0.01,0.9,0.001333521432163324,0.980297729923,64716,16,323,393
3,0.004641588833612777,1.0,0.001333521432163324,0.0595308406403,0,3931,839364,1005675
149,0.002154434690031882,0.8,0.001333521432163324,0.975981706117,64411,36,2689,3229
50,0.004641588833612777,0.9,0.007498942093324558,0.973785834356,64259,43,3817,4579
149,0.00046415888336127773,0.8,0.007498942093324558,0.952069419836,62766,102,25403,30441
29,0.00046415888336127773,1.0,0.007498942093324558,0.0595308406403,0,3931,839364,1005675
5,0.046415888336127774,0.9,0.0031622776601683794,0.978768191662,64608,23,199,244
10,0.00021544346900318845,0.9,0.01778279410038923,0.730619538715,47445,800,225355,270011
17,0.00021544346900318845,1.0,0.0,0.0595308406403,0,3931,839364,1005675
10,0.002154434690031882,0.8,0.01778279410038923,0.969969560674,63993,57,7460,8944
2,0.0001,0.8,0.042169650342858224,0.750049217815,48680,848,214177,256617
5,0.046415888336127774,0.9,0.01778279410038923,0.977374948889,64503,36,1927,2314
17,0.001,0.8,0.1,0.960534884073,63354,73,16855,20200
10,0.01,0.8,0.0031622776601683794,0.98152438932,64797,16,458,554
149,0.046415888336127774,1.0,0.01778279410038923,0.0595308406403,0,3931,839364,1005675
5,0.01,0.9,0.0031622776601683794,0.973482955492,64257,25,992,1194
10,0.00021544346900318845,0.9,0.0005623413251903491,0.816500840489,53520,396,122289,146524
17,0.00021544346900318845,0.9,0.007498942093324558,0.826829009738,54110,488,127649,152945
2,0.002154434690031882,0.8,0.0005623413251903491,0.972756046219,64192,42,3308,3968
50,0.00021544346900318845,0.8,0.0001,0.94932836612,62621,66,11980,14359
2,0.0001,0.8,0.001333521432163324,0.849378341132,55633,454,109490,131190
149,0.002154434690031882,0.9,0.0031622776601683794,0.96937894689,63967,44,5949,7133
10,0.00021544346900318845,0.9,0.0,0.863356200688,56829,181,27703,33196
2,0.004641588833612777,0.8,0.0005623413251903491,0.98090348765,64751,21,945,1137
87,0.001,0.8,0.1,0.962003846562,63453,71,17532,21011
29,0.002154434690031882,1.0,0.0,0.0595308406403,0,3931,839364,1005675
87,0.0001,0.8,0.00023713737056616554,0.923386791453,60826,148,31564,37824
29,0.00046415888336127773,0.9,0.00023713737056616554,0.943846258689,62238,87,15310,18348
17,0.1,0.9,0.042169650342858224,0.984477458241,64974,34,1945,2335
29,0.00046415888336127773,0.9,0.001333521432163324,0.932988051429,61487,121,29916,35849
256,0.00046415888336127773,0.9,0.0031622776601683794,0.938576166462,61855,122,30439,36475
50,0.021544346900318822,0.9,0.0005623413251903491,0.983114503354,64892,26,85,108
5,0.002154434690031882,0.8,0.1,0.955143640301,62997,74,13253,15885
2,0.001,0.9,0.001333521432163324,0.961170929687,63416,53,10008,11996
256,0.021544346900318822,0.8,0.0001,0.986006996502,65098,11,29,42
87,0.021544346900318822,0.9,0.007498942093324558,0.982478457741,64849,27,1782,2141
2,0.001,0.8,0.042169650342858224,0.953311223176,62871,79,19325,23159
149,0.00021544346900318845,0.9,0.0031622776601683794,0.875486499175,57546,265,68066,81557
3,0.00046415888336127773,0.9,0.0031622776601683794,0.928853754941,61180,155,37195,44570
149,0.00021544346900318845,0.8,0.1,0.915602804658,60251,209,46732,55996
17,0.004641588833612777,0.8,0.1,0.976557175957,64451,34,4166,4997
3,0.004641588833612777,1.0,0.0031622776601683794,0.0595308406403,0,3931,839364,1005675
87,0.01,1.0,0.0031622776601683794,0.0595308406403,0,3931,839364,1005675
3,0.004641588833612777,0.8,0.001333521432163324,0.975845410628,64409,29,2052,2465
2,0.021544346900318822,0.9,0.0001,0.985991852559,65099,9,53,70
87,0.002154434690031882,0.9,0.0,0.971801977799,64141,30,1028,1238
149,0.002154434690031882,0.8,0.042169650342858224,0.972634894674,64178,48,6091,7304
50,0.021544346900318822,1.0,0.00023713737056616554,0.0595308406403,0,3931,839364,1005675
149,0.004641588833612777,0.8,0.0,0.981933275786,64821,19,116,146
87,0.021544346900318822,0.9,0.001333521432163324,0.983462814048,64925,16,100,126
87,0.01,1.0,0.0,0.0595308406403,0,3931,839364,1005675
29,0.001,0.9,0.0,0.963503096936,63582,41,3646,4374
256,0.002154434690031882,0.8,0.0,0.977011494253,64497,18,259,316
2,0.004641588833612777,1.0,0.001333521432163324,0.0595308406403,0,3931,839364,1005675
3,0.002154434690031882,0.8,0.001333521432163324,0.966244150652,63755,49,6230,7471
50,0.0001,1.0,0.007498942093324558,0.0595308406403,0,3931,839364,1005675
29,0.00021544346900318845,1.0,0.042169650342858224,0.0595308406403,0,3931,839364,1005675
17,0.004641588833612777,0.8,0.0031622776601683794,0.980070570775,64692,25,1013,1218
5,0.004641588833612777,1.0,0.0001,0.0595308406403,0,3931,839364,1005675
256,0.001,0.9,0.0031622776601683794,0.957975557676,63190,68,13777,16513
5,0.021544346900318822,1.0,0.0031622776601683794,0.0595308406403,0,3931,839364,1005675
29,0.021544346900318822,1.0,0.0005623413251903491,0.0595308406403,0,3931,839364,1005675
5,0.01,0.8,0.0031622776601683794,0.973482955492,64257,25,992,1194
149,0.00021544346900318845,0.8,0.00023713737056616554,0.948268290097,62532,85,15888,19041
3,0.00046415888336127773,0.8,0.01778279410038923,0.920857752942,60607,200,46986,56300
87,0.046415888336127774,0.9,0.0031622776601683794,0.984719761331,65005,19,181,223
17,0.004641588833612777,1.0,0.01778279410038923,0.0595308406403,0,3931,839364,1005675
17,0.002154434690031882,0.8,0.0031622776601683794,0.975133645299,64346,45,3545,4255
10,0.004641588833612777,0.9,0.01778279410038923,0.957884694017,63188,64,7921,9497
2,0.00021544346900318845,0.9,0.01778279410038923,0.879878242697,57731,370,83927,100561
5,0.002154434690031882,1.0,0.00023713737056616554,0.0595308406403,0,3931,839364,1005675
50,0.002154434690031882,0.9,0.0031622776601683794,0.968788333106,63921,51,6150,7373
29,0.00046415888336127773,0.9,0.042169650342858224,0.912816319113,60059,217,50916,61009
5,0.00021544346900318845,0.9,0.00023713737056616554,0.887586509775,58398,212,55538,66548
5,0.001,1.0,0.00023713737056616554,0.0595308406403,0,3931,839364,1005675
3,0.00046415888336127773,0.8,0.0005623413251903491,0.938379295201,61862,102,22953,27506
10,0.004641588833612777,0.9,0.0001,0.961640391925,63460,40,1706,2050
87,0.00046415888336127773,1.0,0.001333521432163324,0.0595308406403,0,3931,839364,1005675
5,0.01,1.0,0.00023713737056616554,0.0595308406403,0,3931,839364,1005675
50,0.0001,0.8,0.0031622776601683794,0.839337906804,54986,438,103486,123995
29,0.001,0.9,0.0001,0.962942771039,63535,51,5261,6307
256,0.046415888336127774,0.9,0.0001,0.984765193161,65016,11,28,40
29,0.1,0.9,0.042169650342858224,0.984477458241,64977,31,1947,2338
87,0.01,0.8,0.0,0.98490148865,65022,14,59,77
10,0.021544346900318822,0.8,0.0001,0.983780836854,64943,19,47,62
50,0.00046415888336127773,0.9,0.1,0.916647736738,60321,208,45582,54619
17,0.021544346900318822,1.0,0.0,0.0595308406403,0,3931,839364,1005675
5,0.01,0.8,0.00023713737056616554,0.973846410128,64280,26,388,469
29,0.0001,0.9,0.0031622776601683794,0.658201202429,42400,1063,297902,356932
2,0.00046415888336127773,0.8,0.1,0.924855753941,60874,197,43415,52022
3,0.0001,0.9,0.001333521432163324,0.816773431466,53402,532,140150,167924
5,0.01,0.8,0.042169650342858224,0.972180576378,64153,43,3108,3730
87,0.0001,0.9,0.042169650342858224,0.586176608665,37243,1464,381318,456874
17,0.004641588833612777,0.9,0.00023713737056616554,0.974649039117,64329,30,903,1088
2,0.004641588833612777,1.0,0.0031622776601683794,0.0595308406403,0,3931,839364,1005675
3,0.1,1.0,0.0,0.0595308406403,0,3931,839364,1005675
10,0.002154434690031882,1.0,0.007498942093324558,0.0595308406403,0,3931,839364,1005675
10,0.00046415888336127773,1.0,0.1,0.0595308406403,0,3931,839364,1005675
